# <E_L> and var[E_L] for 10 run instances:
#                -----------rw.var.min-----------  ----------var.Eref.min----------  ----------urw.var.min-----------  ------------MAD.min-------------  -------------E.min--------------
#sy--basis---in----------<E_L>---------var[E_L]------------<E_L>---------var[E_L]------------<E_L>---------var[E_L]------------<E_L>---------var[E_L]------------<E_L>---------var[E_L]--
O2  cc-pvdz  01  -150.0164  0.0014  7.334  0.061   -150.11668 0.00089 7.767  0.038   -150.1133  0.0014  7.832  0.078   -150.1115  0.0014  7.714  0.066   -150.1604  0.0017  9.093  0.088
O2  cc-pvdz  02  -149.9536  0.0015  7.38   0.14    -150.11736 0.00089 7.790  0.039   -150.1152  0.0014  7.98   0.30    -150.1162  0.0014  7.734  0.060   -150.1618  0.0018  9.20   0.12 
O2  cc-pvdz  03  -149.9334  0.0014  7.897  0.063   -150.11460 0.00089 7.850  0.050   -150.1107  0.0014  7.838  0.077   -150.1128  0.0014  7.821  0.085   -150.1581  0.0016  8.96   0.13 
O2  cc-pvdz  04  -149.9635  0.0014  7.369  0.079   -150.11341 0.00089 7.779  0.049   -150.1065  0.0014  7.638  0.055   -150.1131  0.0014  7.84   0.12    -150.1632  0.0017  9.53   0.86 
O2  cc-pvdz  05  -150.0438  0.0014  7.919  0.055   -150.11856 0.00089 7.834  0.051   -150.1115  0.0014  7.793  0.075   -150.1145  0.0014  7.791  0.064   -150.1609  0.0017  9.077  0.079
O2  cc-pvdz  06  -149.9388  0.0015  7.291  0.085   -150.11647 0.00088 7.712  0.037   -150.1104  0.0014  7.77   0.12    -150.1162  0.0014  7.85   0.13    -150.1608  0.0017  9.033  0.078
O2  cc-pvdz  07  -149.9347  0.0015  7.335  0.059   -150.11862 0.00089 7.758  0.042   -150.1113  0.0014  7.766  0.073   -150.1110  0.0014  7.722  0.056   -150.1559  0.0015  8.350  0.069
O2  cc-pvdz  08  -149.9503  0.0014  7.293  0.061   -150.11628 0.00089 7.766  0.055   -150.1146  0.0014  7.771  0.061   -150.1143  0.0014  7.865  0.091   -150.1589  0.0017  8.975  0.085
O2  cc-pvdz  09  -149.9251  0.0015  7.445  0.080   -150.11622 0.00089 7.807  0.041   -150.1113  0.0014  7.727  0.057   -150.1134  0.0014  7.801  0.082   -150.1616  0.0017  9.07   0.22 
O2  cc-pvdz  10  -149.8938  0.0015  7.211  0.058   -150.11832 0.00089 7.795  0.042   -150.1132  0.0014  7.792  0.081   -150.1135  0.0014  7.728  0.061   -150.1602  0.0016  8.851  0.064
